comm_size,nelem,time,std
1,68,33.331,0.857
1,68,27.108,3.416
1,68,33.402,0.159
1,124,30.744,3.251
1,124,31.376,1.157
1,124,31.400,0.895
1,256,27.943,1.554
1,256,27.943,0.093
1,256,27.943,1.140
1,1024,34.928,0.162
1,1024,34.904,1.566
1,1024,28.205,1.914
1,1832,34.690,0.080
1,1832,31.900,3.477
1,1832,28.133,1.221
1,2656,34.952,1.085
1,2656,32.878,3.421
1,2656,30.184,0.246
1,4302,36.407,0.273
1,4302,36.097,1.817
1,4302,34.070,3.572
1,6616,32.783,1.068
1,6616,40.722,1.128
1,6616,32.854,1.132
1,10422,41.223,3.952
1,10422,42.081,0.373
1,10422,34.428,0.084
1,16896,39.291,0.287
1,16896,39.601,1.839
1,16896,43.595,4.811
1,26410,82.397,0.511
1,26410,82.493,0.350
1,26410,82.445,0.367
1,41656,111.151,0.501
1,41656,111.246,0.570
1,41656,111.365,0.585
1,62708,164.795,0.737
1,62708,165.272,0.691
1,62708,165.308,0.626
1,105288,275.826,0.759
1,105288,275.898,0.664
1,105288,276.220,0.808
1,165180,417.721,1.145
1,165180,417.900,1.270
1,165180,418.437,1.276
1,267788,645.638,1.736
1,267788,646.961,2.183
1,267788,650.263,2.660
1,423808,1192.021,3.999
1,423808,1218.772,5.185
1,423808,1220.083,2.810
1,660884,1871.705,14.218
1,660884,1914.871,7.891
1,660884,1925.182,14.956
1,1034548,2919.793,39.375
1,1034548,2997.708,30.744
1,1034548,3023.601,37.600
1,1694134,4875.422,94.440
1,1694134,4979.098,67.053
1,1694134,4988.170,69.524
